Designator,Mid X,Mid Y,Layer,Rotation
C1,64.000000,-37.000000,Top,90.0000
C2,70.500000,-37.000000,Top,90.0000
C3,78.500000,-35.000000,Top,90.0000
C4,85.000000,-44.000000,Top,0.0000
C5,93.000000,-47.000000,Top,180.0000
C6,85.000000,-37.000000,Top,180.0000
D1,39.500000,-65.000000,Top,0.0000
D2,73.500000,-65.000000,Top,0.0000
D3,107.500000,-65.000000,Top,0.0000
D4,141.500000,-65.000000,Top,0.0000
D5,52.500000,-58.500000,Top,180.0000
D6,87.500000,-58.500000,Top,180.0000
D7,124.500000,-58.500000,Top,90.0000
D8,154.500000,-58.500000,Top,180.0000
D9,73.000000,-41.000000,Top,90.0000
D10,55.000000,-35.000000,Top,270.0000
D11,89.000000,-47.000000,Top,0.0000
D12,111.000000,-41.000000,Top,90.0000
D13,111.000000,-38.000000,Top,90.0000
D14,109.000000,-38.000000,Top,90.0000
D15,127.000000,-37.000000,Top,90.0000
D16,125.000000,-38.000000,Top,90.0000
J1,47.000000,-37.000000,Top,0.0000
J2,39.500000,-105.000000,Top,0.0000
J3,73.500000,-105.000000,Top,0.0000
J4,107.500000,-105.000000,Top,0.0000
J5,141.500000,-105.000000,Top,0.0000
J6,106.000000,-33.000000,Top,270.0000
J7,122.000000,-33.000000,Top,270.0000
K1,35.750000,-71.000000,Top,270.0000
K2,69.750000,-71.000000,Top,270.0000
K3,103.750000,-71.000000,Top,270.0000
K4,137.750000,-71.000000,Top,270.0000
Q1,46.000000,-64.000000,Top,0.0000
Q2,79.000000,-65.000000,Top,0.0000
Q3,114.000000,-65.000000,Top,0.0000
Q4,147.000000,-62.000000,Top,90.0000
Q5,59.000000,-39.000000,Top,0.0000
R1,51.500000,-64.000000,Top,180.0000
R2,84.500000,-64.000000,Top,180.0000
R3,119.500000,-63.000000,Top,270.0000
R4,151.500000,-65.000000,Top,90.0000
R5,47.500000,-60.500000,Top,0.0000
R6,80.500000,-61.500000,Top,0.0000
R7,115.500000,-61.500000,Top,0.0000
R8,150.500000,-60.500000,Top,90.0000
R9,55.500000,-61.500000,Top,180.0000
R10,88.500000,-61.500000,Top,0.0000
R11,120.500000,-59.500000,Top,0.0000
R12,154.500000,-62.500000,Top,90.0000
R13,69.500000,-42.000000,Top,0.0000
R14,58.000000,-43.000000,Top,180.0000
R15,94.000000,-33.000000,Top,180.0000
R16,74.000000,-37.000000,Top,0.0000
U1,92.000000,-40.000000,Top,0.0000
